Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
ALTO VÁRZEA ALEGRE,SANTA TERESA,Espírito Santo,261,76,1,75,0,185
SÃO MATEUS,ANCHIETA,Espírito Santo,261,61,1,60,14,186
RIO DA COBRA,AFONSO CLAUDIO,Espírito Santo,260,99,0,99,4,157
CONSTANTINO DELPUPO,AFONSO CLAUDIO,Espírito Santo,260,71,2,69,0,189
SAFRA,ITAPEMIRIM,Espírito Santo,260,56,0,56,1,203
SAN DIEGO,COLATINA,Espírito Santo,259,105,0,105,11,143
SÃO VICENTE,RIO NOVO DO SUL,Espírito Santo,258,67,0,67,9,182
BARRA DO LIMOEIRO,ITARANA,Espírito Santo,258,61,0,61,25,172
DOMINGUINHOS,MONTANHA,Espírito Santo,258,76,0,76,32,150
CÓRREGO DA PENHA,BARRA DE SAO FRANCISCO,Espírito Santo,258,73,1,65,56,129
PERÓBAS,VIANA,Espírito Santo,258,85,1,81,29,144
Não Informado,CAMPINAS,São Paulo,257,0,0,0,0,0
VILA KM 14 DO MUTUM,BAIXO GUANDU,Espírito Santo,256,90,0,90,1,165
ARLINDO VILLASCH,,VIANA,Espírito Santo,255,79,2,77,71,105
CANDINHA,MARATAIZES,Espírito Santo,255,95,1,94,1,159
VISTA ALEGRE,MIMOSO DO SUL,Espírito Santo,255,92,0,91,2,161
CORREGO FLORESTA,IBATIBA,Espírito Santo,254,97,1,96,0,157
LAPA,SAO GABRIEL DA PALHA,Espírito Santo,254,77,0,77,12,165
SANTA MÔNICA,CASTELO,Espírito Santo,253,74,1,72,5,174
SANGALLI,RIO BANANAL,Espírito Santo,253,85,1,84,12,156
SÃO DOMINGOS,MUQUI,Espírito Santo,253,73,0,73,0,180
RIBEIRÃO DO COSTA,AFONSO CLAUDIO,Espírito Santo,253,84,1,81,2,167
SEBASTIÃO FURTADO,PANCAS,Espírito Santo,252,96,0,96,2,154
ALTO NOVA ALMEIDA,MARECHAL FLORIANO,Espírito Santo,251,75,0,75,0,176
BAIRRO NOVO,SERRA,Espírito Santo,251,67,0,67,17,167
SANTA ANGÉLICA,ALEGRE,Espírito Santo,251,65,0,64,0,186
CÓRREGO SÃO JOÃO,AGUIA BRANCA,Espírito Santo,251,92,2,90,2,157
ORIENTE,JERONIMO MONTEIRO,Espírito Santo,251,66,1,58,2,183
CÓRREGO DO ESTEVÃO,VILA PAVAO,Espírito Santo,249,93,1,92,3,153
ARERÁ,ANCHIETA,Espírito Santo,249,61,1,60,9,179
MONTE ALVERNE,CASTELO,Espírito Santo,248,76,1,74,12,160
LACERDA SODRÉ DE ASSIS,IBATIBA,Espírito Santo,248,72,0,71,1,175
QUITIBA,ANCHIETA,Espírito Santo,248,70,1,69,12,166
PATIOBA,SOORETAMA,Espírito Santo,247,80,1,79,7,160
SÃO JOÃO DE CRUBIXÁ,ALFREDO CHAVES,Espírito Santo,247,100,0,99,4,143
SÃO BENEDITO,SAO MATEUS,Espírito Santo,247,44,1,43,26,177
CAMPESTRE,CASTELO,Espírito Santo,245,76,0,73,4,165
SANTO AGOSTINHO,AGUA DOCE DO NORTE,Espírito Santo,245,57,1,45,47,141
CÓRREGO ALTO,VARGEM ALTA,Espírito Santo,245,87,2,82,17,141
CÓRREGO DA PRATA,ANCHIETA,Espírito Santo,245,77,1,74,6,162
IBICABA,AFONSO CLAUDIO,Espírito Santo,244,82,2,80,6,156
REGÊNCIA,SANTA LEOPOLDINA,Espírito Santo,244,98,0,94,30,116
CALÇADO,SOORETAMA,Espírito Santo,244,95,0,95,0,149
SÃO GERALDO,PEDRO CANARIO,Espírito Santo,244,53,0,53,0,191
CÓRREGO AVENTUREIRO,IRUPI,Espírito Santo,243,74,1,72,23,146
SANTA RITA,RIO BANANAL,Espírito Santo,243,69,0,69,15,159
MISTERIOSO,SAO ROQUE DO CANAA,Espírito Santo,242,85,0,85,3,154
PEDREGAL,JERONIMO MONTEIRO,Espírito Santo,242,35,1,25,4,203
Não Encontrado,ALFREDO CHAVES,Espírito Santo,242,21,1,20,10,211
NOVO HORIZONTE,CONCEICAO DA BARRA,Espírito Santo,242,69,1,68,3,170
RODOCOOM,SAO MATEUS,Espírito Santo,241,56,1,55,33,152
ASSENTAMENTO 16 DE ABRIL,AGUIA BRANCA,Espírito Santo,241,95,1,94,0,146
SANTA ISABEL,IBATIBA,Espírito Santo,241,105,0,105,0,136
SANTA CECILIA,MARILANDIA,Espírito Santo,240,73,1,72,9,158
Não Informado,EUNAPOLIS,Bahia,240,0,0,0,0,0
SANTA ROSA,ITAGUACU,Espírito Santo,240,61,0,61,0,179
BASÍLIO PIMENTA ,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,240,76,2,73,1,163
BOM JARDIM,VILA VALERIO,Espírito Santo,240,92,1,89,1,147
ASSENTAMENTO CORREGO DA LAGE,MUCURICI,Espírito Santo,239,62,0,62,4,173
VILA MADALENA ,BREJETUBA,Espírito Santo,239,87,0,85,5,147
CAXIAS,MUCURICI,Espírito Santo,239,51,0,51,2,186
3 PONTÕES,AFONSO CLAUDIO,Espírito Santo,239,84,1,82,4,151
BAIRRO BELA VISTA,GOVERNADOR LINDENBERG,Espírito Santo,239,75,0,75,1,163
CÓRREGO DOURADO,VILA VALERIO,Espírito Santo,239,109,0,106,0,130
ITATAÍBA,RIO NOVO DO SUL,Espírito Santo,238,91,0,91,11,136
CORREGO SÃO PEDRO,PANCAS,Espírito Santo,237,123,0,123,0,114
PÔR DO SOL,PONTO BELO,Espírito Santo,237,61,0,61,20,156
QUILÔMETRO 35,SAO MATEUS,Espírito Santo,236,36,0,36,21,179
Não Informado,CONTAGEM,Minas Gerais,236,0,0,0,0,0
DUAS BARRAS,VILA VALERIO,Espírito Santo,235,83,0,83,0,152
CEDRO,BREJETUBA,Espírito Santo,235,65,1,60,4,166
