Bairros,Municipios,Estado,Notificacoes,Casos,Obitos,Curados,Suspeitos,Descartados
Não Informado,IAPU,Minas Gerais,18,0,0,0,0,0
BOA VISTA,ECOPORANGA,Espírito Santo,18,4,0,4,3,11
Não Informado,ITAMBACURI,Minas Gerais,18,0,0,0,0,0
Não Informado,IBITINGA,São Paulo,18,0,0,0,0,0
Não Informado,RIO DO PRADO,Minas Gerais,18,0,0,0,0,0
PEDRA LISA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,18,3,0,3,0,15
QUILÔMETRO 14,SAO MATEUS,Espírito Santo,18,2,0,2,1,15
CÓRREGO SÃO JOSE PEQUENO - CORTELETTI,PANCAS,Espírito Santo,18,13,0,13,0,5
Não Informado,SAO JOSE DO RIO PRETO,São Paulo,18,0,0,0,0,0
Não Informado,ATIBAIA,São Paulo,18,0,0,0,0,0
BARRA DO LIMEIRO,ITARANA,Espírito Santo,18,3,0,3,0,15
Não Informado,PONTA GROSSA,Paraná,18,0,0,0,0,0
Não Informado,RIO CLARO,São Paulo,18,0,0,0,0,0
Não Informado,ASSIS,São Paulo,18,0,0,0,0,0
ENCRUZO,SANTA LEOPOLDINA,Espírito Santo,18,5,0,5,0,13
RECREIO ATLANTICO,MARATAIZES,Espírito Santo,18,6,0,6,0,12
IPÊ,COLATINA,Espírito Santo,18,6,0,6,0,12
Não Informado,ARARAQUARA,São Paulo,18,0,0,0,0,0
Não Informado,CARAPEBUS,Rio de Janeiro,18,0,0,0,0,0
Não Informado,ABADIA DOS DOURADOS,Minas Gerais,18,0,0,0,0,0
CÓRREGO DOS MONOS,CASTELO,Espírito Santo,18,4,0,4,2,12
Não Informado,GUARATINGA,Bahia,18,0,0,0,0,0
CÓRREGO DO CRISTAL,NOVA VENECIA,Espírito Santo,18,8,0,8,0,10
SANTA RITA,ARACRUZ,Espírito Santo,18,7,0,7,0,11
Não Informado,PARNAIBA,Piauí,18,0,0,0,0,0
TOMAZINHA ,MARATAIZES,Espírito Santo,18,4,0,4,0,14
SERROTE,ATILIO VIVACQUA,Espírito Santo,18,6,0,6,0,12
BREJO GRANDE,ARACRUZ,Espírito Santo,18,4,0,4,0,14
CÓRREGO DO QUATRO,NOVA VENECIA,Espírito Santo,18,6,0,6,0,12
SANTA CLARA DE CIMA,IUNA,Espírito Santo,18,10,0,9,5,3
Não Informado,SANTA CRUZ CABRALIA,Bahia,18,0,0,0,0,0
TRÊS VENDAS,BARRA DE SAO FRANCISCO,Espírito Santo,18,5,0,5,1,12
CORREGO DA SERRINHA,SAO GABRIEL DA PALHA,Espírito Santo,18,13,0,13,0,5
CÓRREGO BOM RECREIO,IRUPI,Espírito Santo,18,5,0,5,4,9
CÓRREGO BONFIM,BAIXO GUANDU,Espírito Santo,18,7,0,7,0,11
SÃO GABRIEL,CASTELO,Espírito Santo,18,5,0,5,0,13
Não Informado,CAMACAN,Bahia,18,0,0,0,0,0
CÓRREGO DO VINHÁTICO,IBATIBA,Espírito Santo,18,7,0,7,0,11
CÓRREGO CEDRO,IBATIBA,Espírito Santo,18,11,0,11,0,7
DELIMAR SCHUNK,MARECHAL FLORIANO,Espírito Santo,17,0,0,0,1,16
Não Informado,CANAA DOS CARAJAS,Pará,17,0,0,0,0,0
Não Informado,IGARAPE,Minas Gerais,17,0,0,0,0,0
Não Informado,SANTA MARGARIDA,Minas Gerais,17,0,0,0,0,0
CÓRREGO ESTRELA,NOVA VENECIA,Espírito Santo,17,5,0,5,0,12
CRISTO REI,RIO BANANAL,Espírito Santo,17,6,0,6,0,11
Não Informado,RECREIO,Minas Gerais,17,0,0,0,0,0
GÁVEA,VARGEM ALTA,Espírito Santo,17,6,0,6,0,11
SÃO SEBASTIÃO DE BELÉM,SANTA TERESA,Espírito Santo,17,2,0,2,0,15
CARRETÃO,ATILIO VIVACQUA,Espírito Santo,17,3,0,3,0,14
MUTRAPEBA,FUNDAO,Espírito Santo,17,6,0,6,0,11
CORREGO SANTA ROSA,AGUA DOCE DO NORTE,Espírito Santo,17,2,0,2,0,15
Não Informado,ABAETETUBA,Pará,17,0,0,0,0,0
RIO PRETO,MIMOSO DO SUL,Espírito Santo,17,7,0,7,3,7
SERRO,DORES DO RIO PRETO,Espírito Santo,17,4,0,4,0,13
Não Informado,ITAQUAQUECETUBA,São Paulo,17,0,0,0,0,0
TERMÓPILAS,MIMOSO DO SUL,Espírito Santo,17,8,0,8,0,9
CÓRREGO ALMEIDA,SAO GABRIEL DA PALHA,Espírito Santo,17,6,0,6,0,11
Não Informado,ARAXA,Minas Gerais,17,0,0,0,0,0
SEIO DE ABRAÃO,MUNIZ FREIRE,Espírito Santo,17,7,0,7,1,9
ITACURUBI,ALFREDO CHAVES,Espírito Santo,17,8,0,8,0,9
NOVA VIANA II,VIANA,Espírito Santo,17,8,0,6,1,8
BALNEÁRIO COSTA AZUL,FUNDAO,Espírito Santo,17,3,0,3,0,14
Não Informado,DIAMANTINA,Minas Gerais,17,0,0,0,0,0
Não Informado,JAPERI,Rio de Janeiro,17,0,0,0,0,0
CÓRREGO DO ÍNDIO,ARACRUZ,Espírito Santo,17,4,0,4,1,12
VENTUROSA,MIMOSO DO SUL,Espírito Santo,17,2,0,2,0,15
CACHOEIRA VERMELHA,BARRA DE SAO FRANCISCO,Espírito Santo,17,7,0,6,1,9
ALTO DA SERRA,BARRA DE SAO FRANCISCO,Espírito Santo,17,1,0,1,0,16
Não Informado,ACAILANDIA,Maranhão,17,0,0,0,0,0
CHÁCARAS UNIÃO,CARIACICA,Espírito Santo,17,3,0,2,4,10
CÓRREGO DA SAÚDE,SOORETAMA,Espírito Santo,17,5,0,5,1,11
FAZENDA PAULISTA,SAO MATEUS,Espírito Santo,17,6,0,6,1,10
CAMPO VERDE,CONCEICAO DO CASTELO,Espírito Santo,17,5,0,5,0,12
CORREGO DO MIRACEMA,BARRA DE SAO FRANCISCO,Espírito Santo,17,4,0,4,6,7
ÁGUA AZUL,NOVA VENECIA,Espírito Santo,17,2,0,2,0,15
Não Informado,CHALE,Minas Gerais,17,0,0,0,0,0
PILÕES,IUNA,Espírito Santo,17,11,0,11,1,5
PEROBINHA,SAO GABRIEL DA PALHA,Espírito Santo,17,4,0,4,2,11
Não Informado,CARAGUATATUBA,São Paulo,17,0,0,0,0,0
PICADÃO DE SÃO ROQUE I,SAO ROQUE DO CANAA,Espírito Santo,17,2,0,2,1,14
CÓRREGO DO PANORAMA,BARRA DE SAO FRANCISCO,Espírito Santo,17,2,0,2,3,12
SANTA CLARA DO MEIO,IUNA,Espírito Santo,17,10,0,10,3,4
CÓRREGO DO GATO,SAO GABRIEL DA PALHA,Espírito Santo,16,6,0,6,1,9
CÓRREG DA CUTIEIRA,VILA PAVAO,Espírito Santo,16,6,0,6,0,10
ÁGUA SANTA,IUNA,Espírito Santo,16,7,0,7,5,4
Não Informado,TRES RIOS,Rio de Janeiro,16,0,0,0,0,0
BOM DESTINO,IRUPI,Espírito Santo,16,5,0,5,5,6
POÇO FUNDO,MARECHAL FLORIANO,Espírito Santo,16,5,0,5,0,11
Não Informado,ARARAS,São Paulo,16,0,0,0,0,0
ORIENTE,VARGEM ALTA,Espírito Santo,16,12,0,12,1,3
Não Informado,MATIPO,Minas Gerais,16,0,0,0,0,0
Não Informado,SEROPEDICA,Rio de Janeiro,16,0,0,0,0,0
BELA VISTA,MARATAIZES,Espírito Santo,16,5,0,5,0,11
Não Informado,PINDAMONHANGABA,São Paulo,16,0,0,0,0,0
SANTA LUZIA,AGUIA BRANCA,Espírito Santo,16,6,0,6,0,10
PANQUINHAS,PANCAS,Espírito Santo,16,4,0,4,0,12
CÓRREGO SOMBRA DA PEDRA,SAO GABRIEL DA PALHA,Espírito Santo,16,6,0,6,0,10
CÓRREGO IPIRANGA,SAO GABRIEL DA PALHA,Espírito Santo,16,6,0,6,1,9
MARANHÃO,ICONHA,Espírito Santo,16,5,0,4,0,11
Não Informado,SAO JOSE,Santa Catarina,16,0,0,0,0,0
CORREGO DO ITA,BARRA DE SAO FRANCISCO,Espírito Santo,16,2,0,2,5,9
BARRA DO QUATRO,NOVA VENECIA,Espírito Santo,16,6,0,6,0,10
BAIRRO BOA VISTA II,APIACA,Espírito Santo,16,2,0,2,0,14
TAQUARAL,LARANJA DA TERRA,Espírito Santo,16,1,0,1,0,15
Não Informado,ADAMANTINA,São Paulo,16,0,0,0,0,0
POÇO DANTAS,MIMOSO DO SUL,Espírito Santo,16,7,0,7,0,9
DOM HELVÉCIO,ANCHIETA,Espírito Santo,16,3,0,3,1,12
DOIS IRMÃOS,ANCHIETA,Espírito Santo,16,1,0,1,4,11
QUILOMETRO 14 DO MUTUM,BAIXO GUANDU,Espírito Santo,16,6,0,6,0,10
RODOVIA ES 165 SENTIDO PERDIDA,LARANJA DA TERRA,Espírito Santo,16,3,0,3,0,13
CÓRREGO DO VIADINHO,VILA PAVAO,Espírito Santo,16,3,0,3,0,13
Não Informado,SUMARE,São Paulo,16,0,0,0,0,0
Não Informado,UBATUBA,São Paulo,16,0,0,0,0,0
RODOVIA MIGUEL CURI CARNEIRO,NOVA VENECIA,Espírito Santo,16,5,0,5,0,11
CANUDOS,MARATAIZES,Espírito Santo,16,8,0,8,0,8
CÓRREGO DA ONÇA,BOA ESPERANCA,Espírito Santo,16,5,0,4,0,11
CÓRREGO DOS DEITADOS,MANTENOPOLIS,Espírito Santo,16,2,0,1,0,14
LAJINHA L,ITAGUACU,Espírito Santo,16,1,0,1,0,15
JOSÉ MARIA DA SILVEIRA,APIACA,Espírito Santo,16,8,1,7,0,8
BOM VIRA,MIMOSO DO SUL,Espírito Santo,16,8,0,8,0,8
SÃO DOMINGOS,JAGUARE,Espírito Santo,16,4,0,4,0,12
RIO 15 DE NOVEMBRO,VILA PAVAO,Espírito Santo,16,11,0,11,0,5
Não Encontrado,AMPARO DO SERRA,Minas Gerais,16,2,0,0,3,11
CÓRREGO PALMEIRINHA,PINHEIROS,Espírito Santo,16,6,0,6,0,10
SÃO JOÃO DO LAGO,PRESIDENTE KENNEDY,Espírito Santo,16,4,0,4,0,12
Não Encontrado,GOVERNADOR VALADARES,Minas Gerais,16,10,0,7,0,6
VISTA ALEGRE II,IRUPI,Espírito Santo,16,2,1,1,0,14
Não Informado,CAMPO NOVO DE RONDONIA,Rondônia,16,0,0,0,0,0
Não Informado,AGUA BOA,Minas Gerais,16,0,0,0,0,0
Não Informado,BARRA DO PIRAI,Rio de Janeiro,16,0,0,0,0,0
2 DE JULHO,PEDRO CANARIO,Espírito Santo,15,1,0,1,0,14
13 DE MAIO,PEDRO CANARIO,Espírito Santo,15,0,0,0,0,15
CHÁCARA SÃO JOÃO,ALTO RIO NOVO,Espírito Santo,15,4,0,3,0,11
BREJO GRANDE DO SUL II,ITAPEMIRIM,Espírito Santo,15,3,0,3,0,12
CÓRREGO DA PRATA,BARRA DE SAO FRANCISCO,Espírito Santo,15,2,0,2,3,10
ALCANTILADO,GUACUI,Espírito Santo,15,9,0,9,0,6
BARRACÃO DE BAUNILHA,COLATINA,Espírito Santo,15,6,0,5,0,9
CÓRREGO JEQUITIBÁ,COLATINA,Espírito Santo,15,3,0,3,2,10
SÃO JOÃO DE VIÇOSA II,VENDA NOVA DO IMIGRANTE,Espírito Santo,15,7,0,7,0,8
KM 12,SAO MATEUS,Espírito Santo,15,9,0,9,2,4
ANGELIM DO MEIO,CONCEICAO DA BARRA,Espírito Santo,15,3,1,2,0,12
SÃO JOÃO,MUQUI,Espírito Santo,15,2,0,2,0,13
CÓRREGO SANTA ROSA DO MUNIZ,NOVA VENECIA,Espírito Santo,15,6,0,6,0,9
CRISTAL,SAO DOMINGOS DO NORTE,Espírito Santo,15,6,0,6,0,9
SANTO ANTÔNIO DO POUSO ALEGRE - CENTRO,BOA ESPERANCA,Espírito Santo,15,4,1,3,0,11
CORREGO SEDRO,SAO GABRIEL DA PALHA,Espírito Santo,15,5,0,5,0,10
VENDA QUEIMADA,CASTELO,Espírito Santo,15,5,0,5,0,10
ALTO SÃO FRANCISCO,MANTENOPOLIS,Espírito Santo,15,6,0,6,1,8
ASS. CELESTINA,NOVA VENECIA,Espírito Santo,15,2,0,2,0,13
CORREGO CELESTINA,NOVA VENECIA,Espírito Santo,15,4,0,4,0,11
MORRO DA CAIXA D’ÁGUA ,ALFREDO CHAVES,Espírito Santo,15,4,0,4,2,9
ALEGORIA,AFONSO CLAUDIO,Espírito Santo,15,6,0,6,0,9
Não Informado,SAO FRANCISCO DO SUL,Santa Catarina,15,0,0,0,0,0
CORREGO FLORESTA,PANCAS,Espírito Santo,15,11,0,11,0,4
AMORIM,MONTANHA,Espírito Santo,15,3,0,3,0,12
Não Informado,ROSANA,São Paulo,15,0,0,0,0,0
MOITAOZINHO,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,15,0,0,0,0,15
GUARIBÚ,MUNIZ FREIRE,Espírito Santo,15,6,0,5,0,9
GUARITAS,VIANA,Espírito Santo,15,4,0,4,0,11
ESTIVADO,MIMOSO DO SUL,Espírito Santo,15,3,0,3,3,9
CÓRREGO ÁGUA LIMPA I,BAIXO GUANDU,Espírito Santo,15,4,0,4,0,11
ALTO GARRAFÃO,SANTA MARIA DE JETIBA,Espírito Santo,15,3,0,3,6,6
ESTRELA,COLATINA,Espírito Santo,15,12,0,12,0,3
PELADINHO,ARACRUZ,Espírito Santo,15,6,0,5,0,9
ABRIL,MIMOSO DO SUL,Espírito Santo,15,5,0,5,1,9
SANTA HELENA,RIO NOVO DO SUL,Espírito Santo,15,6,0,6,0,9
Não Informado,SERRA DOS AIMORES,Minas Gerais,15,0,0,0,0,0
Não Informado,PORTO AMAZONAS,Paraná,15,0,0,0,0,0
Não Informado,VASSOURAS,Rio de Janeiro,15,0,0,0,0,0
LASTÊNIO,SOORETAMA,Espírito Santo,15,5,0,5,0,10
ARRAIAL DO JABUTI,GUARAPARI,Espírito Santo,15,1,0,1,2,12
CÓRREGO NOSSA SENHORA DA PENHA,SAO DOMINGOS DO NORTE,Espírito Santo,15,8,0,8,0,7
VALÃO DE AREIA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,15,2,0,2,0,13
FAMA,IUNA,Espírito Santo,15,10,0,10,2,3
ALOISIO,CONCEICAO DA BARRA,Espírito Santo,15,7,0,7,0,8
ASSENTAMENTO SÃO SEBASTIÃO,MONTANHA,Espírito Santo,15,4,0,4,2,9
Não Informado,NAVEGANTES,Santa Catarina,15,0,0,0,0,0
MORRINHOS,GUARAPARI,Espírito Santo,15,3,0,3,0,12
Não Informado,ROLIM DE MOURA,Rondônia,15,0,0,0,0,0
Não Informado,DIVINO,Minas Gerais,14,0,0,0,0,0
ALTO JETIBÁ,SANTA MARIA DE JETIBA,Espírito Santo,14,4,0,4,1,9
SÃO FRANCISCO,LINHARES,Espírito Santo,14,4,1,3,0,10
Não Informado,ITAPEVI,São Paulo,14,0,0,0,0,0
Não Informado,SANTA MARIA,Rio Grande do Sul,14,0,0,0,0,0
Não Informado,BELA VISTA DE MINAS,Minas Gerais,14,0,0,0,0,0
CÓRREGO BONFIM,RIO BANANAL,Espírito Santo,14,4,0,4,0,10
PONTÕES,MIMOSO DO SUL,Espírito Santo,14,5,0,5,0,9
CÓRREGO FORTALEZA,SAO GABRIEL DA PALHA,Espírito Santo,14,6,0,6,0,8
ALTO JABUTI,GUARAPARI,Espírito Santo,14,4,0,4,1,9
EMPOSSADINHO,AFONSO CLAUDIO,Espírito Santo,14,6,0,6,0,8
PIO MONTE,ALFREDO CHAVES,Espírito Santo,14,8,1,7,0,6
Não Informado,OURO PRETO DO OESTE,Rondônia,14,0,0,0,0,0
Não Informado,TEODORO SAMPAIO,São Paulo,14,0,0,0,0,0
TAQUARUCU,MIMOSO DO SUL,Espírito Santo,14,5,0,5,0,9
CACHOEIRA ALTA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,14,3,0,3,0,11
AFLUENTE CÓRREGO DO LAGE,BAIXO GUANDU,Espírito Santo,14,5,0,5,0,9
SANTA ROSA,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,14,7,0,7,0,7
BOA SORTE I,BARRA DE SAO FRANCISCO,Espírito Santo,14,4,0,4,5,5
CARACOL,MIMOSO DO SUL,Espírito Santo,14,7,0,7,0,7
RUA COLATINA,NOVA VENECIA,Espírito Santo,14,4,0,3,0,10
FAZENDA GERALDO COZER,BARRA DE SAO FRANCISCO,Espírito Santo,14,4,1,3,4,6
CORREGO DO POAIA,BARRA DE SAO FRANCISCO,Espírito Santo,14,5,0,5,4,5
PAU DALHO,GUARAPARI,Espírito Santo,14,6,0,6,0,8
CÓRREGO PAU JAÚ,SAO GABRIEL DA PALHA,Espírito Santo,14,4,0,4,1,9
Não Informado,CARLOS CHAGAS,Minas Gerais,14,0,0,0,0,0
BARRO BRANCO,MIMOSO DO SUL,Espírito Santo,14,7,0,7,0,7
LIMOEIRO,MONTANHA,Espírito Santo,14,8,0,8,1,5
Não Encontrado,MACAE,Rio de Janeiro,14,6,0,5,1,7
Não Encontrado,CAMPOS DOS GOYTACAZES,Rio de Janeiro,14,3,0,2,1,10
CÓRREGO DO TIMIRIM,NOVA VENECIA,Espírito Santo,14,2,0,2,0,12
CACHOEIRINHA,ARACRUZ,Espírito Santo,14,1,0,1,0,13
CÓRREGO DA PRATINHA,BOA ESPERANCA,Espírito Santo,14,2,0,2,0,12
SANTA LUZIA,MIMOSO DO SUL,Espírito Santo,14,5,0,5,2,7
FAZENDA VELOSO,VILA PAVAO,Espírito Santo,14,3,0,3,0,11
ALTO RIBEIRÃO CAPIXABA,DOMINGOS MARTINS,Espírito Santo,14,2,0,2,0,12
ASSENTAMENTO GUANABARA,SAO MATEUS,Espírito Santo,14,7,0,7,3,4
BAIXO RIO LAMEGO,SANTA MARIA DE JETIBA,Espírito Santo,14,3,0,3,1,10
BANANAL DO SUL,LINHARES,Espírito Santo,14,3,1,2,4,7
SERRINHA,SAO MATEUS,Espírito Santo,14,7,0,7,1,6
CÓRREGO 30,AGUIA BRANCA,Espírito Santo,14,4,0,4,0,10
BREJO VELHO,SAO MATEUS,Espírito Santo,14,3,0,3,0,11
SÃO CRISTOVÃO,BOA ESPERANCA,Espírito Santo,14,7,0,7,0,7
Não Informado,VARGINHA,Minas Gerais,14,0,0,0,0,0
SÂO DOMINGOS GRANDE,BREJETUBA,Espírito Santo,14,5,0,5,0,9
CENTRO,AIMORES,Minas Gerais,14,13,5,4,0,1
Não Informado,PATOS DE MINAS,Minas Gerais,14,0,0,0,0,0
Não Informado,ITATIBA,São Paulo,14,0,0,0,0,0
CÓRREGO SANTA ROSA,BAIXO GUANDU,Espírito Santo,14,3,0,3,0,11
Não Informado,OURO VERDE DE MINAS,Minas Gerais,14,0,0,0,0,0
RIO QUINZE DE NOVEMBRO,VILA PAVAO,Espírito Santo,14,1,0,1,0,13
Não Informado,LORENA,São Paulo,14,0,0,0,0,0
Não Informado,RIBEIRAO PIRES,São Paulo,14,0,0,0,0,0
Não Informado,CARMO,Rio de Janeiro,14,0,0,0,0,0
RIO DOS GONÇALVES,SANTA MARIA DE JETIBA,Espírito Santo,14,8,0,8,0,6
Não Informado,MARILIA,São Paulo,14,0,0,0,0,0
RIO DAS PEDRAS,MARECHAL FLORIANO,Espírito Santo,14,7,0,7,0,7
SANTA CRUZ,JERONIMO MONTEIRO,Espírito Santo,13,2,0,2,0,11
PATRONATO,MIMOSO DO SUL,Espírito Santo,13,2,0,2,2,9
ATÍLIO VIVACQUA,ATILIO VIVACQUA,Espírito Santo,13,1,0,1,0,12
AREIA BRANCA,MIMOSO DO SUL,Espírito Santo,13,7,0,7,0,6
CÓRREGO DA LAPA,COLATINA,Espírito Santo,13,4,0,4,1,8
RIO DA PRATA,GUARAPARI,Espírito Santo,13,4,0,4,2,7
Não Informado,SAO JOSE DA LAPA,Minas Gerais,13,0,0,0,0,0
Não Informado,PARANAGUA,Paraná,13,0,0,0,0,0
SAO JOÃO DO CALAFATE,ITAPEMIRIM,Espírito Santo,13,2,0,2,0,11
CORREGO SÃO ROQUE,VILA PAVAO,Espírito Santo,13,5,0,5,0,8
Não Informado,IMPERATRIZ,Maranhão,13,0,0,0,0,0
CÓRREGO DOS MONOS,AFONSO CLAUDIO,Espírito Santo,13,8,0,8,1,4
DESCANSO,CASTELO,Espírito Santo,13,3,0,3,1,9
FAZENDA DAMÁSIO,SAO DOMINGOS DO NORTE,Espírito Santo,13,9,0,9,0,4
CACHOEIRA GRANDE,CASTELO,Espírito Santo,13,5,1,4,1,7
DESERTO,ALFREDO CHAVES,Espírito Santo,13,5,0,5,0,8
CÓRREGO DA ONÇA,DIVINO DE SAO LOURENCO,Espírito Santo,13,6,0,6,1,6
Não Informado,PENAPOLIS,São Paulo,13,0,0,0,0,0
BOA ESPERANÇA,MANTENOPOLIS,Espírito Santo,13,1,0,1,0,12
Não Informado,PARAGOMINAS,Pará,13,0,0,0,0,0
Não Informado,DIADEMA,São Paulo,13,0,0,0,0,0
ARURAL,SAO MATEUS,Espírito Santo,13,1,0,1,4,8
Não Informado,PAULINIA,São Paulo,13,0,0,0,0,0
PIABAS,COLATINA,Espírito Santo,13,4,0,4,0,9
KURT LEVI,DOMINGOS MARTINS,Espírito Santo,13,2,0,2,0,11
MATA FRIA,AFONSO CLAUDIO,Espírito Santo,13,3,0,3,0,10
BREJÃO,AGUIA BRANCA,Espírito Santo,13,5,0,5,0,8
CÓRREGO PAVÃOZINHO,VILA PAVAO,Espírito Santo,13,3,0,3,0,10
SÃO BENTO,AGUIA BRANCA,Espírito Santo,13,9,0,9,1,3
RIO PARDINHO,IRUPI,Espírito Santo,13,5,0,5,1,7
CABECEIRA 25 DE JULHO,SANTA TERESA,Espírito Santo,13,5,0,5,0,8
JACARANDÁ,GUARAPARI,Espírito Santo,13,0,0,0,0,13
SÃO BENTO,PANCAS,Espírito Santo,13,2,0,2,0,11
Não Informado,JARU,Rondônia,13,0,0,0,0,0
Não Informado,JABOATAO DOS GUARARAPES,Pernambuco,13,0,0,0,0,0
Não Informado,SANTA BARBARA D'OESTE,São Paulo,13,0,0,0,0,0
GUARATAIA,ITARANA,Espírito Santo,13,6,0,6,1,6
CASCATA,IBIRACU,Espírito Santo,13,4,0,4,0,9
RIVE II,ALEGRE,Espírito Santo,13,3,0,3,0,10
Não Informado,ITUMBIARA,Goiás,13,0,0,0,0,0
BOA VISTA,JERONIMO MONTEIRO,Espírito Santo,13,4,0,3,0,9
CÓRREGO SANTA RITA,NOVA VENECIA,Espírito Santo,13,7,0,7,0,6
CÓRREGO BOA VISTA DO ROCHEDO,AGUIA BRANCA,Espírito Santo,13,8,0,8,0,5
ÁGUA LIMPA,GUACUI,Espírito Santo,13,2,0,2,0,11
Não Informado,PARNAMIRIM,Rio Grande do Norte,13,0,0,0,0,0
ESTRADA DO BOA VISTA ,LARANJA DA TERRA,Espírito Santo,13,6,0,6,0,7
Não Informado,NOVO HAMBURGO,Rio Grande do Sul,13,0,0,0,0,0
Não Informado,ITAPECERICA DA SERRA,São Paulo,13,0,0,0,0,0
Não Informado,SALTO,São Paulo,13,0,0,0,0,0
Não Informado,JUCURUCU,Bahia,13,0,0,0,0,0
CÓRREGO TERRA BOA,VILA PAVAO,Espírito Santo,13,3,0,3,0,10
SANTO ANTÔNIO DO AMORIM,MUNIZ FREIRE,Espírito Santo,13,5,0,4,0,8
BARRA DO SÃO JOSÉ,SAO DOMINGOS DO NORTE,Espírito Santo,13,6,0,6,0,7
VILA DOS ANJOS,BARRA DE SAO FRANCISCO,Espírito Santo,13,2,0,2,2,9
RODA DÁGUA,CONCEICAO DA BARRA,Espírito Santo,13,7,0,7,0,6
CÓRREGO SANTA CRUZ,VILA VALERIO,Espírito Santo,13,7,0,7,0,6
RETIRO I,CACHOEIRO DE ITAPEMIRIM,Espírito Santo,13,2,0,2,0,11
NOSSA SENHORA DA PENHA,BAIXO GUANDU,Espírito Santo,13,2,0,2,0,11
CALIFORNIA,VENDA NOVA DO IMIGRANTE,Espírito Santo,13,2,0,2,0,11
ASS. 13 DE MAIO,NOVA VENECIA,Espírito Santo,13,5,1,4,0,8
CRISTAL,AFONSO CLAUDIO,Espírito Santo,13,5,0,5,0,8
Não Informado,TUCURUI,Pará,13,0,0,0,0,0
CÓRREGO SANTA CRUZ,IRUPI,Espírito Santo,13,2,0,1,0,11
7 DE SETEMBRO,SAO GABRIEL DA PALHA,Espírito Santo,13,7,1,6,1,5
CÓRREGO JAPIRA,NOVA VENECIA,Espírito Santo,13,4,0,4,0,9
MUCURATA II,ARACRUZ,Espírito Santo,13,3,0,3,0,10
Palhinha,MONTANHA,Espírito Santo,13,2,0,2,3,8
Não Informado,ABRE CAMPO,Minas Gerais,13,0,0,0,0,0
CÓRREGO BAIANO,BARRA DE SAO FRANCISCO,Espírito Santo,13,1,0,1,1,11
CÓRREGO PEDRA RISCADA FIRME,AFONSO CLAUDIO,Espírito Santo,12,6,0,6,0,6
CÓRREGO DO PACOTE,BARRA DE SAO FRANCISCO,Espírito Santo,12,7,0,6,1,4
Não Informado,CAMPINA GRANDE,Paraíba,12,0,0,0,0,0
Não Informado,ARAGUARI,Minas Gerais,12,0,0,0,0,0
ALTO MUNDO NOVO,ICONHA,Espírito Santo,12,3,0,3,0,9
FAROL,MIMOSO DO SUL,Espírito Santo,12,0,0,0,0,12
LIMEIRA DE CIMA,VARGEM ALTA,Espírito Santo,12,1,0,0,2,9
FARTURA,SAO GABRIEL DA PALHA,Espírito Santo,12,3,0,3,4,5
Não Informado,LIMEIRA,São Paulo,12,0,0,0,0,0
CÓRREGO DO BAIANO,BARRA DE SAO FRANCISCO,Espírito Santo,12,2,0,2,3,7
Não Informado,DIVINO DAS LARANJEIRAS,Minas Gerais,12,0,0,0,0,0
SAÚDE,VENDA NOVA DO IMIGRANTE,Espírito Santo,12,3,0,3,0,9
Não Informado,ACRELANDIA,Acre,12,0,0,0,0,0
Não Informado,DOM SILVERIO,Minas Gerais,12,0,0,0,0,0
PLANALTO ANCHIETA,ANCHIETA,Espírito Santo,12,6,0,6,1,5
MORRO ALTO,GUARAPARI,Espírito Santo,12,6,1,5,0,6
FAZENDA BOA VISTA,SAO MATEUS,Espírito Santo,12,1,0,1,3,8
CÓRREGO DO DEZOITO,MONTANHA,Espírito Santo,12,4,0,4,2,6
ARACRUZ II,ARACRUZ,Espírito Santo,12,4,0,4,1,7
Não Informado,COLOMBO,Paraná,12,0,0,0,0,0
Não Informado,PRESIDENTE DUTRA,Maranhão,12,0,0,0,0,0
SÃO JOSÉ DO CANTÃO,COLATINA,Espírito Santo,12,3,0,3,0,9
Não Informado,CARUARU,Pernambuco,12,0,0,0,0,0
Não Informado,AGUAS FORMOSAS,Minas Gerais,12,0,0,0,0,0
Não Informado,RONDONOPOLIS,Mato Grosso,12,0,0,0,0,0
Não Informado,GURUPI,Tocantins,12,0,0,0,0,0
POMBAL E CHAFARIZ,MIMOSO DO SUL,Espírito Santo,12,1,0,1,3,8
Não Informado,VARZEA GRANDE,Mato Grosso,12,0,0,0,0,0
CÓRREGO DO TEMA,VILA VALERIO,Espírito Santo,12,4,0,4,0,8
CÓRREGO BELA VISTA,NOVA VENECIA,Espírito Santo,12,5,0,5,0,7
SÃO SEBASTIÃO DO BANANAL,BAIXO GUANDU,Espírito Santo,12,6,0,6,0,6
CÓRREGO GUAXIMA,ARACRUZ,Espírito Santo,12,2,0,2,0,10
CÓRREGO CACIMBA,SAO MATEUS,Espírito Santo,12,2,0,2,1,9
PARAISO,MIMOSO DO SUL,Espírito Santo,12,1,0,1,0,11
Não Informado,ITANHAEM,São Paulo,12,0,0,0,0,0
PARADA PIMENTEL,DORES DO RIO PRETO,Espírito Santo,12,3,0,3,0,9
